Function,Best,Worst,Mean,StdDev
F1,1.15719e+02,3.76335e+03,6.51754e+02,6.58625e+02
F2,1.19130e+03,1.60175e+03,1.39108e+03,1.02694e+02
F3,7.24665e+02,7.38573e+02,7.30617e+02,3.19436e+00
F4,1.90014e+03,1.90069e+03,1.90038e+03,1.38833e-01
F5,8.69599e+04,2.20135e+06,4.86981e+05,3.38413e+05
F6,1.60146e+03,1.60654e+03,1.60243e+03,9.38158e-01
F7,1.44144e+04,7.48760e+05,1.95455e+05,1.63252e+05
F8,2.30012e+03,4.51901e+03,2.42346e+03,4.71255e+02
F9,2.50750e+03,2.93099e+03,2.70695e+03,1.59210e+02
F10,2.83850e+03,2.94965e+03,2.91435e+03,1.80311e+01
