Function,Best,Worst,Mean,StdDev
F1,1.17504e+03,5.82283e+03,2.32323e+03,8.69268e+02
F2,4.44895e+02,4.62602e+02,4.48601e+02,2.56504e+00
F3,6.00000e+02,6.00003e+02,6.00001e+02,5.52317e-04
F4,8.56912e+02,9.00121e+02,8.77623e+02,9.49975e+00
F5,9.00000e+02,9.00000e+02,9.00000e+02,2.69730e-08
F6,2.73836e+03,1.84764e+04,7.28027e+03,4.11241e+03
F7,2.04055e+03,2.06983e+03,2.05568e+03,6.97586e+00
F8,2.22728e+03,2.23566e+03,2.23214e+03,1.84881e+00
F9,2.48078e+03,2.48078e+03,2.48078e+03,4.26412e-08
F10,2.50040e+03,2.50078e+03,2.50058e+03,8.91149e-02
F11,2.90000e+03,3.00000e+03,2.97000e+03,4.58258e+01
F12,2.93081e+03,2.94796e+03,2.93639e+03,4.55093e+00
