Function,Best,Worst,Mean,StdDev
F1,2.49887e+09,5.62008e+09,4.22903e+09,8.37341e+08
F3,6.09167e+04,1.26518e+05,8.97199e+04,1.84427e+04
F4,7.47126e+02,1.13340e+03,9.15861e+02,8.53832e+01
F5,6.97995e+02,7.61143e+02,7.32954e+02,1.72801e+01
F6,6.31328e+02,6.49740e+02,6.40714e+02,5.09855e+00
F7,1.00043e+03,1.08288e+03,1.04152e+03,2.03149e+01
F8,9.83477e+02,1.05413e+03,1.01609e+03,1.70417e+01
F9,2.64306e+03,5.32663e+03,3.85574e+03,6.69504e+02
F10,7.27905e+03,8.55308e+03,7.97699e+03,3.44921e+02
F11,1.66756e+03,2.51229e+03,1.82692e+03,1.57440e+02
F12,1.28669e+08,4.73904e+08,2.66262e+08,7.90526e+07
F13,7.20074e+06,4.06602e+07,2.45838e+07,9.46251e+06
F14,6.88945e+03,3.91920e+04,1.89655e+04,7.31118e+03
F15,1.12576e+05,6.11239e+05,3.00758e+05,1.22200e+05
F16,3.01158e+03,3.78905e+03,3.39565e+03,2.10841e+02
F17,2.09207e+03,2.62438e+03,2.31991e+03,1.29038e+02
F18,2.21875e+05,1.30329e+06,6.51407e+05,2.87299e+05
F19,2.79486e+05,3.06881e+06,1.38866e+06,6.48738e+05
F20,2.41361e+03,2.93058e+03,2.69410e+03,1.16292e+02
F21,2.49614e+03,2.55421e+03,2.52859e+03,1.31966e+01
F22,3.77334e+03,1.00145e+04,8.95806e+03,1.43603e+03
F23,2.86097e+03,2.97879e+03,2.92852e+03,2.84914e+01
F24,3.04669e+03,3.13186e+03,3.08922e+03,1.75747e+01
F25,3.02986e+03,3.18363e+03,3.11185e+03,3.60025e+01
F26,4.86983e+03,6.68655e+03,6.22056e+03,3.27968e+02
F27,3.27518e+03,3.39584e+03,3.33761e+03,2.67933e+01
F28,3.46075e+03,3.72253e+03,3.54757e+03,5.21443e+01
F29,4.05397e+03,4.77258e+03,4.43778e+03,1.77658e+02
F30,2.32498e+06,1.26167e+07,7.18385e+06,2.90717e+06
