Function,Best,Worst,Mean,StdDev
F1,3.00001e+02,4.60987e+02,3.10268e+02,2.93955e+01
F2,4.44895e+02,4.69058e+02,4.48562e+02,3.40098e+00
F3,6.00000e+02,6.00000e+02,6.00000e+02,7.16704e-07
F4,8.81543e+02,9.17249e+02,9.01661e+02,9.53646e+00
F5,9.00000e+02,9.00454e+02,9.00020e+02,8.95443e-02
F6,1.81654e+03,2.35528e+04,3.53518e+03,4.28206e+03
F7,2.01062e+03,2.05187e+03,2.02560e+03,6.27628e+00
F8,2.20870e+03,2.22836e+03,2.22505e+03,4.19267e+00
F9,2.48078e+03,2.48078e+03,2.48078e+03,2.27374e-12
F10,2.50039e+03,4.58285e+03,2.64767e+03,4.73235e+02
F11,2.90000e+03,3.00000e+03,2.93200e+03,4.66476e+01
F12,2.93201e+03,2.97321e+03,2.94231e+03,8.24490e+00
