Function,Best,Worst,Mean,StdDev
F1,6.97270e+07,2.64789e+08,1.44299e+08,3.95986e+07
F2,5.47305e+09,1.25413e+10,8.73367e+09,1.62546e+09
F3,4.89447e+04,1.11856e+05,7.26291e+04,1.30834e+04
F4,9.14009e+02,1.52208e+03,1.14281e+03,1.38961e+02
F5,5.20888e+02,5.21093e+02,5.20987e+02,4.43163e-02
F6,6.29072e+02,6.36235e+02,6.33501e+02,1.41065e+00
F7,7.44031e+02,8.08613e+02,7.81011e+02,1.41452e+01
F8,9.84356e+02,1.05090e+03,1.01861e+03,1.54927e+01
F9,1.09215e+03,1.16800e+03,1.14154e+03,1.48149e+01
F10,6.22277e+03,8.03428e+03,7.30184e+03,3.60362e+02
F11,7.63493e+03,8.82650e+03,8.21386e+03,2.78528e+02
F12,1.20207e+03,1.20349e+03,1.20276e+03,3.32513e-01
F13,1.30095e+03,1.30283e+03,1.30203e+03,4.91182e-01
F14,1.41395e+03,1.43647e+03,1.42639e+03,5.27469e+00
F15,1.59335e+03,3.83397e+03,2.17868e+03,4.11500e+02
F16,1.61264e+03,1.61359e+03,1.61324e+03,1.87812e-01
F17,9.58219e+05,6.64407e+06,3.43053e+06,1.16071e+06
F18,3.26660e+06,3.59759e+07,1.67617e+07,6.83756e+06
F19,1.93396e+03,1.98316e+03,1.95072e+03,9.86779e+00
F20,1.37890e+04,5.92303e+04,3.43098e+04,1.17121e+04
F21,1.42276e+05,1.46246e+06,5.53690e+05,2.44440e+05
F22,2.62815e+03,3.17258e+03,2.92515e+03,1.35048e+02
F23,2.64592e+03,2.67293e+03,2.66017e+03,7.07155e+00
F24,2.60139e+03,2.60434e+03,2.60270e+03,5.92254e-01
F25,2.71330e+03,2.72845e+03,2.72257e+03,3.23995e+00
F26,2.70068e+03,2.70241e+03,2.70132e+03,4.23035e-01
F27,3.23042e+03,3.87700e+03,3.44274e+03,1.84962e+02
F28,4.00485e+03,4.31199e+03,4.15404e+03,6.68018e+01
F29,1.64340e+06,1.91613e+07,7.30286e+06,4.00592e+06
F30,3.61173e+04,2.39443e+05,1.12807e+05,3.91569e+04
