Function,Best,Worst,Mean,StdDev
F1,5.22431e+09,9.57075e+09,7.86662e+09,9.91043e+08
F3,8.81040e+04,1.81172e+05,1.26994e+05,2.21297e+04
F4,9.66538e+02,1.49857e+03,1.26314e+03,1.36071e+02
F5,7.34280e+02,8.06234e+02,7.63392e+02,1.53738e+01
F6,6.40827e+02,6.57519e+02,6.49766e+02,4.52185e+00
F7,1.01749e+03,1.13326e+03,1.08206e+03,2.52378e+01
F8,9.92168e+02,1.05744e+03,1.03826e+03,1.31135e+01
F9,3.38415e+03,6.65355e+03,4.95599e+03,8.36104e+02
F10,7.56892e+03,8.85978e+03,8.25165e+03,2.95553e+02
F11,1.90734e+03,2.72220e+03,2.24882e+03,1.71279e+02
F12,3.80964e+08,9.01343e+08,6.14472e+08,1.18780e+08
F13,1.78406e+07,1.17422e+08,6.73996e+07,2.67556e+07
F14,3.28704e+03,1.42626e+05,6.68277e+04,3.06033e+04
F15,2.82646e+05,2.35151e+06,1.09216e+06,5.12373e+05
F16,3.41854e+03,3.92928e+03,3.63862e+03,1.43776e+02
F17,2.13266e+03,2.70429e+03,2.43609e+03,1.40251e+02
F18,1.89178e+05,2.83638e+06,1.65169e+06,6.27141e+05
F19,1.42404e+06,1.33954e+07,5.11256e+06,2.56872e+06
F20,2.42288e+03,2.94321e+03,2.72351e+03,1.19698e+02
F21,2.50951e+03,2.58264e+03,2.54731e+03,2.02279e+01
F22,4.12082e+03,1.00473e+04,8.48803e+03,2.05454e+03
F23,2.94223e+03,3.02372e+03,2.98246e+03,2.03668e+01
F24,3.08917e+03,3.17723e+03,3.13725e+03,2.12422e+01
F25,3.03197e+03,3.28245e+03,3.18548e+03,5.44067e+01
F26,6.26112e+03,7.07964e+03,6.72954e+03,2.02929e+02
F27,3.32689e+03,3.41485e+03,3.36999e+03,2.80774e+01
F28,3.54120e+03,3.81729e+03,3.67400e+03,7.38015e+01
F29,4.41406e+03,5.01257e+03,4.68751e+03,1.72157e+02
F30,8.16197e+06,2.50808e+07,1.57604e+07,4.66214e+06
