Function,Best,Worst,Mean,StdDev
F1,8.35576e+07,4.69588e+09,1.40069e+09,1.08774e+09
F3,1.20308e+04,7.65872e+04,3.63272e+04,1.30157e+04
F4,4.88945e+02,7.92087e+02,5.76618e+02,6.43123e+01
F5,5.57124e+02,7.46123e+02,6.14186e+02,4.26779e+01
F6,6.02016e+02,6.20524e+02,6.08078e+02,4.02623e+00
F7,7.85753e+02,1.01756e+03,8.86330e+02,5.90927e+01
F8,8.45720e+02,1.03650e+03,8.92623e+02,4.24901e+01
F9,1.05281e+03,5.25481e+03,2.07359e+03,8.16179e+02
F10,2.88466e+03,9.05491e+03,5.16148e+03,1.82876e+03
F11,1.27416e+03,4.19244e+03,1.87975e+03,7.96664e+02
F12,1.75880e+06,2.73524e+08,4.80648e+07,5.31419e+07
F13,1.39318e+04,2.92142e+08,1.74445e+07,4.86099e+07
F14,2.81710e+03,4.30213e+06,3.77594e+05,6.80446e+05
F15,1.76387e+04,3.40387e+06,3.06428e+05,6.80671e+05
F16,1.68528e+03,3.58087e+03,2.44187e+03,3.49731e+02
F17,1.78340e+03,2.29371e+03,2.00588e+03,1.32194e+02
F18,9.46402e+04,5.78894e+06,1.03711e+06,1.17662e+06
F19,5.76975e+03,3.83831e+07,1.38691e+06,5.36754e+06
F20,2.15751e+03,2.91658e+03,2.41347e+03,1.90682e+02
F21,2.34269e+03,2.51982e+03,2.39906e+03,4.43975e+01
F22,2.35904e+03,9.64726e+03,4.89750e+03,1.86818e+03
F23,2.70428e+03,2.88186e+03,2.76275e+03,4.70650e+01
F24,2.86609e+03,3.09002e+03,2.95359e+03,6.61117e+01
F25,2.91987e+03,3.17555e+03,2.98279e+03,4.68300e+01
F26,3.38067e+03,5.71846e+03,4.66377e+03,4.06619e+02
F27,3.21636e+03,3.32222e+03,3.24938e+03,2.53664e+01
F28,3.24164e+03,3.61417e+03,3.40369e+03,8.03311e+01
F29,3.47923e+03,4.15239e+03,3.80069e+03,1.81990e+02
F30,7.52137e+05,2.63471e+07,6.38885e+06,5.91013e+06
