Function,Best,Worst,Mean,StdDev
F1,2.22262e+06,6.85481e+07,1.47027e+07,1.22630e+07
F2,3.74514e+02,7.64885e+09,1.58503e+09,1.64836e+09
F3,6.93881e+02,2.08859e+04,5.84083e+03,5.19263e+03
F4,4.68639e+02,8.66101e+02,5.58532e+02,7.18500e+01
F5,5.20765e+02,5.21090e+02,5.20933e+02,8.56236e-02
F6,6.06667e+02,6.18351e+02,6.11396e+02,2.82961e+00
F7,7.00000e+02,8.05081e+02,7.23540e+02,1.80912e+01
F8,8.28697e+02,8.77557e+02,8.44083e+02,1.11913e+01
F9,9.32834e+02,1.03335e+03,9.76438e+02,2.27095e+01
F10,1.36335e+03,3.72948e+03,2.30928e+03,3.98087e+02
F11,2.52414e+03,5.67739e+03,4.15639e+03,6.91941e+02
F12,1.20024e+03,1.20301e+03,1.20176e+03,6.63400e-01
F13,1.30038e+03,1.30325e+03,1.30072e+03,4.53954e-01
F14,1.40099e+03,1.42705e+03,1.40662e+03,7.02687e+00
F15,1.50447e+03,1.55310e+03,1.51214e+03,9.84056e+00
F16,1.61055e+03,1.61304e+03,1.61188e+03,5.21389e-01
F17,5.28153e+04,8.48723e+06,1.01109e+06,1.34172e+06
F18,2.04608e+03,3.93451e+08,7.97015e+06,5.50696e+07
F19,1.90724e+03,1.97435e+03,1.91327e+03,1.19937e+01
F20,3.06332e+03,3.53353e+04,7.16573e+03,5.60088e+03
F21,1.87071e+04,1.70176e+06,3.15186e+05,2.91025e+05
F22,2.24660e+03,3.18745e+03,2.61234e+03,1.85424e+02
F23,2.61530e+03,2.65773e+03,2.62418e+03,9.07157e+00
F24,2.62426e+03,2.64657e+03,2.63153e+03,6.23684e+00
F25,2.70347e+03,2.72168e+03,2.70725e+03,2.99665e+00
F26,2.70046e+03,2.80116e+03,2.75316e+03,4.92573e+01
F27,3.10243e+03,3.72705e+03,3.40847e+03,1.72788e+02
F28,3.89911e+03,5.54119e+03,4.55431e+03,3.89979e+02
F29,7.15311e+03,4.22460e+07,5.41111e+06,9.78236e+06
F30,5.62357e+03,4.48284e+05,4.18659e+04,7.50360e+04
