Function,Best,Worst,Mean,StdDev
F1,7.02781e+03,2.08749e+04,1.24667e+04,3.21285e+03
F2,5.95335e+02,8.90318e+02,6.90747e+02,5.57124e+01
F3,6.30523e+02,6.53964e+02,6.42110e+02,5.71619e+00
F4,9.17231e+02,9.71113e+02,9.42707e+02,1.12783e+01
F5,1.43924e+03,3.17143e+03,2.14210e+03,3.97511e+02
F6,5.86073e+06,2.43935e+08,1.03206e+08,6.43631e+07
F7,2.09751e+03,2.18944e+03,2.13882e+03,1.90282e+01
F8,2.24037e+03,2.29143e+03,2.26034e+03,1.01419e+01
F9,2.53206e+03,2.64599e+03,2.57293e+03,2.53379e+01
F10,2.51613e+03,6.36831e+03,2.75928e+03,8.80705e+02
F11,3.60600e+03,5.52886e+03,4.58427e+03,4.33393e+02
F12,2.99096e+03,3.12178e+03,3.05184e+03,2.67933e+01
