Function,Best,Worst,Mean,StdDev
F1,4.02909e+02,3.38031e+03,1.36272e+03,7.46996e+02
F2,4.04059e+02,4.75575e+02,4.55370e+02,1.38784e+01
F3,6.00001e+02,6.00030e+02,6.00007e+02,6.44859e-03
F4,8.17911e+02,8.64672e+02,8.40171e+02,1.03661e+01
F5,9.00634e+02,1.03464e+03,9.27179e+02,2.61501e+01
F6,1.84159e+03,1.21558e+04,3.51357e+03,2.08078e+03
F7,2.00901e+03,2.05702e+03,2.03625e+03,8.90910e+00
F8,2.22360e+03,2.22687e+03,2.22532e+03,6.54744e-01
F9,2.48078e+03,2.48078e+03,2.48078e+03,4.76559e-04
F10,2.50039e+03,2.65829e+03,2.54563e+03,6.37594e+01
F11,2.60000e+03,3.00000e+03,2.90242e+03,7.07314e+01
F12,2.93887e+03,2.98978e+03,2.95440e+03,1.11409e+01
