Function,Best,Worst,Mean,StdDev
F1,3.91854e+06,6.21375e+07,2.20569e+07,1.37538e+07
F2,4.22255e+05,6.83779e+08,1.33015e+08,1.34716e+08
F3,2.05498e+03,2.36955e+04,1.05583e+04,4.25704e+03
F4,4.73098e+02,7.50207e+02,5.70274e+02,5.51389e+01
F5,5.20271e+02,5.20669e+02,5.20505e+02,1.03131e-01
F6,6.15592e+02,6.30501e+02,6.22555e+02,3.35001e+00
F7,7.00961e+02,7.03737e+02,7.01779e+02,6.81512e-01
F8,8.40340e+02,9.28620e+02,8.82998e+02,1.91540e+01
F9,9.81864e+02,1.16008e+03,1.07986e+03,3.80735e+01
F10,2.29052e+03,4.57369e+03,3.22472e+03,4.66032e+02
F11,3.90541e+03,6.37001e+03,5.07991e+03,5.80711e+02
F12,1.20025e+03,1.20115e+03,1.20063e+03,2.17604e-01
F13,1.30045e+03,1.30080e+03,1.30061e+03,8.72419e-02
F14,1.40032e+03,1.40131e+03,1.40105e+03,1.85130e-01
F15,1.51084e+03,1.57863e+03,1.52063e+03,1.09140e+01
F16,1.61091e+03,1.61301e+03,1.61220e+03,4.75023e-01
F17,1.97840e+05,4.83096e+06,1.62686e+06,1.11179e+06
F18,2.82532e+03,2.58956e+05,3.39952e+04,5.91247e+04
F19,1.91028e+03,2.00585e+03,1.92934e+03,2.96490e+01
F20,2.99715e+03,3.69536e+04,1.25883e+04,5.65863e+03
F21,5.50835e+04,1.61384e+06,5.66044e+05,4.21092e+05
F22,2.27638e+03,3.30249e+03,2.76085e+03,2.23112e+02
F23,2.61533e+03,2.62222e+03,2.61715e+03,1.58637e+00
F24,2.60003e+03,2.75324e+03,2.62436e+03,2.37650e+01
F25,2.70489e+03,2.72085e+03,2.71103e+03,3.82377e+00
F26,2.70038e+03,2.96063e+03,2.70987e+03,4.08275e+01
F27,3.10646e+03,3.92382e+03,3.56339e+03,2.47774e+02
F28,3.70455e+03,4.91191e+03,4.06914e+03,3.28971e+02
F29,4.90632e+03,8.88929e+06,1.37827e+06,3.13691e+06
F30,5.94423e+03,4.70642e+04,1.46797e+04,6.87542e+03
